SEQ,VESSELCODE,PIC,MACH_DESC,MAKER_DESC,MATERIAL,MATERIAL_DESC,PART_NO,ROB,Recondition,WORK,LAW,Optimum,UNIT,UNIT_PRICE,EXPENSIVE_AMT,MAJOR_TARGET_AMT,Vessel_survey_item
1,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008143,FUSE,GR-100-002-1,0,0,1,0,0,EA,0,,,
2,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008144,OVERCURRENT RELAY,GR-100-002-10,0,0,1,0,0,EA,0,,,
3,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008145,TRANSFORMER,GR-100-002-11,0,0,1,0,0,EA,0,,,
4,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008146,FUSE,GR-100-002-2,0,0,1,0,0,EA,0,,,
5,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008147,AUX RELAY,GR-100-002-3,0,0,1,0,0,EA,0,,,
6,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008148,PILOT LAMP,GR-100-002-4,0,0,1,0,0,EA,0,,,
7,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008149,PUSH BUTTON SWITCH,GR-100-002-5,0,0,1,0,0,EA,0,,,
8,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008150,SELECTOR SWITCH,GR-100-002-6,0,0,1,0,0,EA,0,,,
9,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008151,TIMER RELAY,GR-100-002-7,0,0,1,0,0,EA,0,,,
10,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008152,VARIO SWITCH,GR-100-002-8,0,0,1,0,0,EA,0,,,
11,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008153,MAGNETIC CONTACTOR,GR-100-002-9,0,0,1,0,0,EA,0,,,
12,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008154,FUSE ELEMENT,GR-100-007-1,0,0,1,0,0,EA,0,,,
13,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008155,FUSE ELEMENT,GR-100-007-2,0,0,1,0,0,EA,0,,,
14,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008156,AUX RELAY,GR-100-007-3,0,0,1,0,0,EA,0,,,
15,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008157,PILOT LAMP,GR-100-007-4,0,0,1,0,0,EA,0,,,
16,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008158,PUSH BUTTON,GR-100-007-5,0,0,1,0,0,EA,0,,,
17,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008159,SELECTOR SWITCH,GR-100-007-6,0,0,1,0,0,EA,0,,,
18,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008160,FUSE FOR O.L.D,GR-100-007-7,0,0,1,0,0,EA,0,,,
19,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008161,BODY,GRS-100EB-01-1,0,0,1,0,0,EA,0,,,
20,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008162,LIFITING LUG,GRS-100EB-01-10,0,0,1,0,0,EA,0,,,
21,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008163,NAME PLATE,GRS-100EB-01-11,0,0,1,0,0,EA,0,,,
22,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008164,HAND HOLE,GRS-100EB-01-12,0,0,1,0,0,EA,0,,,
23,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008165,PRESSURE GAUGE,GRS-100EB-01-13,0,0,1,0,0,EA,0,,,
24,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008166,NIPPLE FOR SAMPLING COCK,GRS-100EB-01-14,0,0,1,0,0,EA,0,,,
25,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008167,THERMOMETER,GRS-100EB-01-15,0,0,1,0,0,EA,0,,,
26,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008168,ELECTRIC HEATER,GRS-100EB-01-16,0,0,1,0,0,EA,0,,,
27,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008169,TEMPERATURE SENSOR,GRS-100EB-01-16-1,0,0,1,0,0,EA,0,,,
